epoch,train_loss,val_loss,val_mae,val_mse,val_psnr,val_ndvi_rmse,val_ssim
1,0.009137073520167365,0.008634393157913013,0.007948791605737457,0.0002052507649189446,36.953345343283395,0.056983156426948435,0.921463115735257
2,0.008150469595285176,0.008451480941074167,0.007774595354505359,0.000197988274715286,37.11347084616021,0.05362036021703735,0.924605260821099
3,0.00795321889737783,0.008272682281924373,0.007601695447327926,0.00019087885455983849,37.27740927097159,0.05256506562867063,0.9278748140056082
4,0.007813831845870768,0.008127041649013917,0.007463219922352979,0.0001859828773492754,37.39426059286921,0.050909218972826256,0.9290368785249427
5,0.007703053120682496,0.00810598581286266,0.007441873283204722,0.00018483305292976823,37.42061044744604,0.05129573268300675,0.9293035348045066
6,0.007629349447297161,0.007975355749256275,0.007318025318648111,0.0001796744434497978,37.549889790430335,0.05125271679556116,0.9313038647808927
7,0.0075656799020553354,0.008012117689198002,0.007352592693542705,0.0001806782885127022,37.52027438705979,0.050350715921438756,0.9308671095269792
8,0.0075078006158872355,0.007918387163489898,0.007265199934370182,0.00017771052107297904,37.59642854221852,0.04917615297389157,0.9319277006260892
9,0.007466171891304464,0.007879225158211874,0.007227080242529987,0.00017547490294438173,37.65217318343717,0.049239351334882546,0.9327059064773803
10,0.007421680447375848,0.007858664250655218,0.007207944662250737,0.00017541834650012576,37.6521981346367,0.049766257286388824,0.9328564976124053
11,0.007387445265258502,0.007786182448902028,0.007138061416434481,0.00017216186526948537,37.73878708318943,0.049266751320596706,0.9343601655452809
12,0.0073571964837015206,0.007826152948682453,0.007176559294593778,0.00017379230186943847,37.69705492480658,0.04908560909964937,0.9330596521179727
13,0.00732422411627075,0.007758137547074163,0.0071132059798556125,0.00016986677563065624,37.79643563078689,0.04833007060942498,0.934571680553416
14,0.007297766415590874,0.007721028875242522,0.007076853980369707,0.0001688344788643472,37.824183000152104,0.048205935891638414,0.9352688285264563
15,0.007267408993518638,0.007683668545685075,0.007041426521646691,0.00016759356897617838,37.85755151902819,0.04785614153568415,0.9357314826326167
16,0.007247726343651542,0.007649508198386335,0.007009881880491021,0.00016639279474088168,37.89113403488326,0.04753350046403865,0.9360353068468419
17,0.007228221028024202,0.007688092251129924,0.007046279826875221,0.00016809412517567523,37.84618761046034,0.0487624580991712,0.9359411796990861
18,0.007204521987521045,0.007663041229379621,0.0070226797710192645,0.00016598623005847912,37.89920424346001,0.04854074950785713,0.9364360872101276
19,0.007184930069646657,0.007624541307759887,0.00698701293019459,0.0001652762719536537,37.9190028658943,0.04762307483148068,0.9367385129345224
20,0.007169930369396352,0.007626183058551335,0.006988066300611071,0.0001657704330895324,37.90451555733925,0.049976775283984684,0.9362363542648072
21,0.007150286269336145,0.0076153716988901195,0.006977573653901036,0.0001648347029874864,37.93106783986648,0.04818171686790091,0.9364420584541686
22,0.007138633542259093,0.007617466988913873,0.00697962115667364,0.00016457721683261123,37.9377256505343,0.04783271249145903,0.9366390432449098
23,0.007119784871906995,0.007639638581709501,0.0069999095805464906,0.00016551374117509423,37.9085627052791,0.04771993287462503,0.9364340780897343
24,0.007109617364475401,0.007541287014201442,0.0069069796132835305,0.0001617474017814644,38.016498249858195,0.04685540202053937,0.9380369820493333
25,0.0070972743181124676,0.007543520231612344,0.006909811321863944,0.00016163617816501038,38.01822826692139,0.04723297709480245,0.9377763563014091
26,0.007082945666380134,0.007514035495176436,0.006881593412006314,0.00016066638690585448,38.04571921346676,0.047954367889844356,0.9382407161149573
27,0.0070700055959288756,0.0075164605526530995,0.006884296546056074,0.0001608798874587321,38.038466606813415,0.04709355412249235,0.9381937054877586
28,0.007061213141614919,0.007509371307876675,0.0068777656539323485,0.00016038321751074498,38.053962243011554,0.04675965748251753,0.9382832957074997
29,0.007052918453576774,0.007516299510632265,0.0068843115537249025,0.00016064538055829,38.045409353828,0.04633570769603582,0.9381425111217702
30,0.007040264615110828,0.007509386243714773,0.006877564295056335,0.00016048260933646506,38.049351570240816,0.046361504261322475,0.938104010325797
31,0.007031362570762687,0.007517502980029329,0.006885637326086772,0.00016022853661196038,38.0569738705432,0.04641137876488427,0.9382839855995584
32,0.007018583868076069,0.007491732459574779,0.006860414673475192,0.000159552529209016,38.07641025361544,0.047240784688991434,0.9389117521808502
33,0.007012592946207333,0.00748841534616386,0.006858065615388307,0.00015992748322265045,38.06609901319636,0.0465379692217771,0.9385109084083679
34,0.007013062776114335,0.007502663779032833,0.0068714274489816195,0.00016036379430319202,38.051046436910546,0.04694116567360594,0.9383549598303247
35,0.00700093011353595,0.0074640157845545,0.006834659760104532,0.00015940691357289015,38.08149945654093,0.04643750592986954,0.9388528957645944
36,0.0069843264376053165,0.007484595184808874,0.006853939120737004,0.00016000400114051522,38.06358851805506,0.04658613403506102,0.9386744442138266
37,0.006984359573996353,0.007464178652066658,0.006835316867627045,0.00015887013308956547,38.09640131662795,0.04696172844380774,0.9389039886758682
38,0.006978218282405849,0.007464703578660463,0.006836165810261477,0.00015861454266996589,38.101019435487665,0.046633617338189416,0.9389720016971548
39,0.00696871276005282,0.007433142790451963,0.006805021276182317,0.0001575942206205156,38.129811768026315,0.04662527690859551,0.9395027392088099
40,0.006964515094011758,0.00744732005145163,0.0068187264953442715,0.00015850127926975627,38.106082756898964,0.04817125666886568,0.9392813187330327
