year,annual_precipitation_mm,study_period_mean_mm,anomaly_mm,precip_group
2018,436.5164053626224,384.8276300326132,51.68877533000921,higher-precipitation
2019,575.9294846063839,384.8276300326132,191.1018545737707,higher-precipitation
2020,171.50659178556867,384.8276300326132,-213.3210382470445,lower-precipitation
2021,466.3103331771448,384.8276300326132,81.48270314453163,higher-precipitation
2022,273.875335231346,384.8276300326132,-110.9522948012672,lower-precipitation
