crop,status,test_patches,bicubic_psnr,model_psnr,bicubic_ndvi_rmse,model_ndvi_rmse,median_dominant_crop_fraction,min_dominant_crop_fraction,domfrac_ge_30pct_test_patches,domfrac_ge_30pct_bicubic_psnr,domfrac_ge_30pct_model_psnr,domfrac_ge_30pct_bicubic_ndvi_rmse,domfrac_ge_30pct_model_ndvi_rmse
GRAPES,dominant_crop_labeled,1845,36.712207900809275,38.61420723310581,0.06598588414692136,0.04925145178043907,0.5997116565704346,0.13123711943626404,1702,36.80357506363857,38.718469675062,0.06479967141154054,0.04842249379240493
ALFALFA,dominant_crop_labeled,782,35.89635880725901,37.929453181496875,0.07275453624565659,0.051662841552149154,0.40186750888824463,0.1500949263572693,623,36.0112417780805,38.1167496767789,0.07080344958634475,0.04990911244580681
ALMOND,dominant_crop_labeled,373,37.47887005115343,39.600302926477355,0.058440423443234316,0.04192837973402429,0.4590790271759033,0.13759653270244598,312,37.63252884795626,39.809533828002294,0.05750817064052591,0.0409652098464087
CITRUS,absent_from_dataset_excluded_from_sr_claims,0,,,,,,,0,,,,
